Candidate,K,Seed,Inertia,Silhouette,DaviesBouldin,CalinskiHarabasz,Iterations,RuntimeSeconds,MinClusterSize,MaxClusterSize,MinClusterRatio,MaxClusterRatio,ImbalanceRatio,ClusterSizes
STANDARD_RAW,2,42,9014.520269915854,0.8958249028713496,0.7450067138421348,1923.7567380617572,5,0.23372425400009433,26,4312,0.00599354541263255,0.9940064545873675,165.84615384615384,"[4312, 26]"
STANDARD_RAW,3,42,5441.672963636583,0.5937570862143289,0.7104046023290396,3016.1714900906295,14,0.17306176700003562,26,3225,0.00599354541263255,0.7434301521438451,124.03846153846153,"[3225, 26, 1087]"
STANDARD_RAW,4,42,4096.574324272695,0.6164324290264233,0.7541958818165581,3144.7513474536886,9,0.20133743899998535,13,3060,0.002996772706316275,0.7053941908713693,235.3846153846154,"[3060, 1061, 13, 204]"
STANDARD_RAW,5,42,3120.0380995444493,0.6165224853120373,0.7159266065038318,3435.0972285349103,8,0.24151744400001007,6,3050,0.0013831258644536654,0.7030889810972798,508.3333333333333,"[3050, 1061, 8, 213, 6]"
STANDARD_RAW,6,42,2474.0209485034306,0.5982253158988755,0.6272867696646001,3691.0984440601746,10,0.30053444100008164,2,2929,0.0004610419548178884,0.6751959428307976,1464.5,"[2929, 21, 4, 1060, 322, 2]"
STANDARD_RAW,7,42,2023.6686248530698,0.5180466733182335,0.6336041011166955,3920.2138400201534,9,0.5786245980000331,2,2598,0.0004610419548178884,0.598893499308437,1299.0,"[316, 621, 2598, 21, 776, 4, 2]"
STANDARD_RAW,8,42,1715.949937833872,0.47699452257907926,0.6954844610248085,4072.7694702407134,9,0.6143033399999922,2,2169,0.0004610419548178884,0.5,1084.5,"[746, 663, 21, 603, 4, 2169, 2, 130]"
STANDARD_RAW,9,42,1446.2623767769687,0.4776306909601001,0.7190661185547642,4328.142896891104,30,0.14268679200006318,2,2166,0.0004610419548178884,0.49930843706777317,1083.0,"[603, 666, 4, 8, 2166, 129, 14, 2, 746]"
STANDARD_RAW,10,42,1281.231357814416,0.47844390088949634,0.6795090616617883,4403.92965759955,11,0.136348063000014,2,2165,0.0004610419548178884,0.4990779160903642,1082.5,"[126, 2165, 746, 2, 2, 6, 667, 603, 17, 4]"
LOG_STANDARD,2,42,6476.5069370535475,0.43250906819167395,0.8912650182014639,4376.832376623863,6,0.04490944799999852,1668,2670,0.38450899031811897,0.6154910096818811,1.6007194244604317,"[1668, 2670]"
LOG_STANDARD,3,42,4858.078487594689,0.33720826318305847,1.043654880361232,3638.9044063826223,5,0.07549886899994362,762,1876,0.17565698478561548,0.43245735361917936,2.461942257217848,"[1700, 1876, 762]"
LOG_STANDARD,4,42,3925.2744726728597,0.3339182058421721,1.0171612062338784,3345.045536012864,18,0.11700561500003914,731,1541,0.16851083448593823,0.35523282618718305,2.1080711354309165,"[1177, 889, 731, 1541]"
LOG_STANDARD,5,42,3269.0747590373057,0.3181665001647787,0.982311703458523,3229.1238770750997,14,0.12232929699996475,344,1167,0.0792992162286768,0.2690179806362379,3.3924418604651163,"[960, 1167, 344, 859, 1008]"
LOG_STANDARD,6,42,2840.6539692579695,0.31459001848353263,1.0215073530861847,3102.9130829268215,19,0.13133822699990105,295,993,0.06800368833563854,0.2289073305670816,3.3661016949152542,"[993, 652, 939, 614, 845, 295]"
LOG_STANDARD,7,42,2532.984679245515,0.31029597420449523,0.9762335931442403,2986.8547576006977,22,0.15094340000007378,230,892,0.05301982480405717,0.20562471184877823,3.878260869565217,"[639, 892, 621, 230, 855, 693, 408]"
LOG_STANDARD,8,42,2325.075373955298,0.302062319419304,0.9919616439055322,2843.7311929876178,19,0.16488934500000596,217,848,0.0500230520977409,0.1954817888427847,3.9078341013824884,"[848, 426, 669, 217, 729, 497, 641, 311]"
LOG_STANDARD,9,42,2145.839159867577,0.2815788091931234,1.0185820517254998,2740.7143580878524,17,0.17651827899999262,212,663,0.04887044721069617,0.15283540802213003,3.1273584905660377,"[295, 465, 657, 623, 394, 212, 663, 582, 447]"
LOG_STANDARD,10,42,1989.4048513714786,0.27707851611901874,1.021479305604621,2664.9476436972473,63,0.23572964000004504,92,638,0.02120792992162287,0.1470723835869064,6.934782608695652,"[524, 489, 593, 310, 638, 267, 637, 92, 434, 354]"
ROBUST_RAW,2,42,81261.43968470655,0.9776241124090633,0.3638718583865862,6859.067029600835,2,0.03152420899994013,8,4330,0.0018441678192715537,0.9981558321807285,541.25,"[4330, 8]"
ROBUST_RAW,3,42,44183.54625967463,0.9416105124391442,0.4813130707365619,8124.9904544598085,5,0.05925139600003604,5,4305,0.001152604887044721,0.9923928077455049,861.0,"[4305, 5, 28]"
ROBUST_RAW,4,42,32334.36951753051,0.74560649748055,0.6128531296780313,7929.3385777363,9,0.06049210300000141,5,4042,0.001152604887044721,0.9317657906869525,808.4,"[4042, 5, 23, 268]"
ROBUST_RAW,5,42,22734.448422754896,0.7333973543632537,0.5812313579140707,8913.669910283386,4,0.07295105699995474,2,4020,0.0004610419548178884,0.9266943291839558,2010.0,"[4020, 5, 25, 286, 2]"
ROBUST_RAW,6,42,18569.272295350525,0.6113145219817835,0.646107087352405,8923.015498591163,9,0.07776853999996547,2,3707,0.0004610419548178884,0.8545412632549562,1853.5,"[3707, 2, 17, 52, 5, 555]"
ROBUST_RAW,7,42,15929.599553190625,0.5137794092709569,0.7251246744692905,8785.4374563419,23,0.09285367000006772,2,3362,0.0004610419548178884,0.7750115260488705,1681.0,"[3362, 2, 18, 5, 13, 810, 128]"
ROBUST_RAW,8,42,13753.523718083174,0.513856037508634,0.7311067987897355,8817.672652370418,8,0.11583721900001365,2,3362,0.0004610419548178884,0.7750115260488705,1681.0,"[3362, 2, 13, 128, 810, 3, 2, 18]"
ROBUST_RAW,9,42,11766.452948899425,0.46794199921245155,0.7131972052599368,9108.040600429098,9,0.11438985600000251,2,2510,0.0004610419548178884,0.57860765329645,1255.0,"[1053, 2, 18, 623, 3, 2, 13, 114, 2510]"
ROBUST_RAW,10,42,9600.68290519433,0.46855442715594414,0.6633466993320049,10028.304429723312,21,0.1307304250000243,2,2510,0.0004610419548178884,0.57860765329645,1255.0,"[2510, 2, 114, 12, 3, 624, 1052, 2, 17, 2]"
