Candidate,K,Seed,Inertia,Silhouette,DaviesBouldin,CalinskiHarabasz,Iterations,RuntimeSeconds,MinClusterSize,MaxClusterSize,MinClusterRatio,MaxClusterRatio,ImbalanceRatio,ClusterSizes
STANDARD_RAW,5,0,3120.0380995444493,0.6165224853120373,0.7159266065038319,3435.0972285349103,7,0.1086349809999092,6,3050,0.0013831258644536654,0.7030889810972798,508.3333333333333,"[1061, 3050, 213, 6, 8]"
STANDARD_RAW,5,7,3120.0380995444493,0.6165224853120373,0.7159266065038318,3435.0972285349108,12,0.13272857200001908,6,3050,0.0013831258644536654,0.7030889810972798,508.3333333333333,"[1061, 6, 3050, 213, 8]"
STANDARD_RAW,5,21,3120.105598644639,0.6165224853120373,0.7159266065038318,3435.097228534911,5,0.12001833200008605,6,3050,0.0013831258644536654,0.7030889810972798,508.3333333333333,"[3050, 1061, 6, 8, 213]"
STANDARD_RAW,5,42,3120.0380995444493,0.6165224853120373,0.7159266065038318,3435.0972285349103,8,0.1422725839998975,6,3050,0.0013831258644536654,0.7030889810972798,508.3333333333333,"[3050, 1061, 8, 213, 6]"
STANDARD_RAW,5,84,3120.0380995444493,0.6165224853120373,0.7159266065038318,3435.097228534911,20,0.14229364999994232,6,3050,0.0013831258644536654,0.7030889810972798,508.3333333333333,"[3050, 6, 1061, 8, 213]"
STANDARD_RAW,5,123,3120.2770825095945,0.6155655380059197,0.71842769443027,3434.7629522963393,15,0.15505430299992895,6,3036,0.0013831258644536654,0.6998616874135546,506.0,"[227, 1061, 6, 8, 3036]"
STANDARD_RAW,5,2026,3120.0380995444493,0.6165224853120373,0.7159266065038319,3435.0972285349108,13,0.09560254799998802,6,3050,0.0013831258644536654,0.7030889810972798,508.3333333333333,"[3050, 213, 1061, 8, 6]"
STANDARD_RAW,10,0,1283.146815271584,0.4245002535901799,0.7156271086455519,4396.420113411625,18,0.14061798299997008,2,1599,0.0004610419548178884,0.3686030428769018,799.5,"[566, 956, 496, 13, 4, 2, 99, 7, 596, 1599]"
STANDARD_RAW,10,7,1284.4417721334692,0.47875730304324426,0.6688313806757508,4391.510646493334,25,0.1503476010000213,2,2169,0.0004610419548178884,0.5,1084.5,"[2169, 603, 5, 4, 127, 751, 2, 659, 2, 16]"
STANDARD_RAW,10,21,1282.244892995133,0.4798569452680883,0.6834937651012859,4399.958938153191,35,0.15663752099999328,2,2168,0.0004610419548178884,0.49976947902259106,1084.0,"[125, 752, 607, 2, 17, 6, 2168, 655, 2, 4]"
STANDARD_RAW,10,42,1281.231357814416,0.47844390088949634,0.6795090616617883,4403.92965759955,11,0.1402222059999758,2,2165,0.0004610419548178884,0.4990779160903642,1082.5,"[126, 2165, 746, 2, 2, 6, 667, 603, 17, 4]"
STANDARD_RAW,10,84,1283.0994554531583,0.4266819906436151,0.7133700652528417,4396.591123062272,20,0.1594631279999703,2,1658,0.0004610419548178884,0.3822037805440295,829.0,"[1658, 494, 4, 7, 99, 592, 2, 901, 13, 568]"
STANDARD_RAW,10,123,1281.1327273240518,0.4795949605040765,0.6778910846500742,4404.2304538434255,37,0.16103795300000456,2,2169,0.0004610419548178884,0.5,1084.5,"[607, 751, 16, 2, 6, 2169, 125, 2, 4, 656]"
STANDARD_RAW,10,2026,1283.58804370871,0.42733830076771445,0.7124818967331427,4394.858641619096,11,0.14645742100003645,2,1677,0.0004610419548178884,0.38658367911479946,838.5,"[592, 1677, 4, 566, 7, 13, 2, 477, 97, 903]"
LOG_STANDARD,2,0,6476.5069370535475,0.43250906819167395,0.8912650182014639,4376.832376623863,8,0.0406268670000145,1668,2670,0.38450899031811897,0.6154910096818811,1.6007194244604317,"[2670, 1668]"
LOG_STANDARD,2,7,6476.5069370535475,0.43250906819167395,0.8912650182014639,4376.832376623863,8,0.0396991939999225,1668,2670,0.38450899031811897,0.6154910096818811,1.6007194244604317,"[1668, 2670]"
LOG_STANDARD,2,21,6476.5069370535475,0.43250906819167395,0.8912650182014639,4376.832376623863,11,0.04180684999994355,1668,2670,0.38450899031811897,0.6154910096818811,1.6007194244604317,"[1668, 2670]"
LOG_STANDARD,2,42,6476.5069370535475,0.43250906819167395,0.8912650182014639,4376.832376623863,6,0.041530219000037505,1668,2670,0.38450899031811897,0.6154910096818811,1.6007194244604317,"[1668, 2670]"
LOG_STANDARD,2,84,6476.5069370535475,0.43250906819167395,0.8912650182014639,4376.832376623863,4,0.039400956999998016,1668,2670,0.38450899031811897,0.6154910096818811,1.6007194244604317,"[2670, 1668]"
LOG_STANDARD,2,123,6476.5069370535475,0.43250906819167395,0.8912650182014639,4376.832376623863,7,0.0417196820000072,1668,2670,0.38450899031811897,0.6154910096818811,1.6007194244604317,"[2670, 1668]"
LOG_STANDARD,2,2026,6476.5069370535475,0.43250906819167395,0.8912650182014639,4376.832376623863,10,0.039632417999996505,1668,2670,0.38450899031811897,0.6154910096818811,1.6007194244604317,"[2670, 1668]"
LOG_STANDARD,4,0,3925.448685193641,0.3357339238773896,1.0140931915141191,3344.847281577204,17,0.20648021199997402,738,1546,0.17012448132780084,0.35638543107422777,2.0948509485094853,"[1546, 738, 1183, 871]"
LOG_STANDARD,4,7,3925.059739663699,0.33537843202822376,1.0162165601247963,3345.351665598334,21,0.26692489300000943,715,1583,0.1648224988473951,0.36491470723835867,2.213986013986014,"[877, 1583, 715, 1163]"
LOG_STANDARD,4,21,3925.3516625944594,0.3360801875037084,1.0135361768745503,3344.990782548018,10,0.10314987200001724,728,1559,0.16781927155371137,0.35938220378054403,2.1414835164835164,"[869, 1182, 1559, 728]"
LOG_STANDARD,4,42,3925.2744726728597,0.3339182058421721,1.0171612062338784,3345.045536012864,18,0.12123722299998008,731,1541,0.16851083448593823,0.35523282618718305,2.1080711354309165,"[1177, 889, 731, 1541]"
LOG_STANDARD,4,84,3924.915614493607,0.3354985055924061,1.0146670844685826,3345.499866384426,19,0.10608394600001247,722,1580,0.16643614568925771,0.36422314430613184,2.188365650969529,"[1580, 722, 1159, 877]"
LOG_STANDARD,4,123,3925.3453890293863,0.3353379470394495,1.0144833307539167,3344.9864791573386,10,0.11388054500002909,738,1547,0.17012448132780084,0.3566159520516367,2.0962059620596207,"[1179, 1547, 738, 874]"
LOG_STANDARD,4,2026,3925.414256950024,0.3331253126333085,1.019493245921857,3344.902278204353,27,0.11922579700001279,715,1558,0.1648224988473951,0.3591516828031351,2.179020979020979,"[1558, 1173, 892, 715]"
ROBUST_RAW,2,0,81261.43968470655,0.9776241124090633,0.3638718583865862,6859.067029600835,2,0.02927917699992122,8,4330,0.0018441678192715537,0.9981558321807285,541.25,"[4330, 8]"
ROBUST_RAW,2,7,81261.43968470655,0.9776241124090633,0.3638718583865862,6859.067029600835,2,0.04517251999993732,8,4330,0.0018441678192715537,0.9981558321807285,541.25,"[4330, 8]"
ROBUST_RAW,2,21,81261.43968470655,0.9776241124090633,0.3638718583865862,6859.067029600835,2,0.03470076700000391,8,4330,0.0018441678192715537,0.9981558321807285,541.25,"[4330, 8]"
ROBUST_RAW,2,42,81261.43968470655,0.9776241124090633,0.3638718583865862,6859.067029600835,2,0.04671158899998318,8,4330,0.0018441678192715537,0.9981558321807285,541.25,"[4330, 8]"
ROBUST_RAW,2,84,81261.43968470655,0.9776241124090633,0.3638718583865862,6859.067029600835,2,0.04254945900004259,8,4330,0.0018441678192715537,0.9981558321807285,541.25,"[4330, 8]"
ROBUST_RAW,2,123,81261.43968470655,0.9776241124090633,0.3638718583865862,6859.067029600835,2,0.039047919000040565,8,4330,0.0018441678192715537,0.9981558321807285,541.25,"[4330, 8]"
ROBUST_RAW,2,2026,81261.43968470655,0.9776241124090633,0.3638718583865862,6859.067029600835,2,0.052288302999954794,8,4330,0.0018441678192715537,0.9981558321807285,541.25,"[4330, 8]"
ROBUST_RAW,3,0,44183.54625967463,0.9416105124391442,0.4813130707365619,8124.9904544598085,5,0.041592944000058196,5,4305,0.001152604887044721,0.9923928077455049,861.0,"[4305, 5, 28]"
ROBUST_RAW,3,7,44183.54625967463,0.9416105124391442,0.4813130707365619,8124.9904544598085,3,0.04267711800002871,5,4305,0.001152604887044721,0.9923928077455049,861.0,"[4305, 5, 28]"
ROBUST_RAW,3,21,44183.54625967463,0.9416105124391442,0.4813130707365619,8124.9904544598085,3,0.048959653999986585,5,4305,0.001152604887044721,0.9923928077455049,861.0,"[4305, 5, 28]"
ROBUST_RAW,3,42,44183.54625967463,0.9416105124391442,0.4813130707365619,8124.9904544598085,5,0.04393575099993541,5,4305,0.001152604887044721,0.9923928077455049,861.0,"[4305, 5, 28]"
ROBUST_RAW,3,84,44183.54625967463,0.9416105124391442,0.4813130707365619,8124.9904544598085,6,0.04002952799999093,5,4305,0.001152604887044721,0.9923928077455049,861.0,"[4305, 5, 28]"
ROBUST_RAW,3,123,44183.54625967463,0.9416105124391442,0.4813130707365619,8124.990454459807,6,0.03806459600002654,5,4305,0.001152604887044721,0.9923928077455049,861.0,"[4305, 28, 5]"
ROBUST_RAW,3,2026,44183.54625967463,0.9416105124391442,0.4813130707365619,8124.9904544598085,4,0.04483377700000801,5,4305,0.001152604887044721,0.9923928077455049,861.0,"[4305, 5, 28]"
